,measurement_id,lon,lat,source,coords,Name,nodeId,wayId
135,N84112E,-1.783280703,52.45208406,Scoot,"(-1.7832807030000002, 52.452084059999997)",Coventry Road,3796891161,130446520-0
136,N25111V,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
137,N84111S,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
138,N21111A,-1.864157347,52.45075701,Scoot,"(-1.8641573469999999, 52.450757009999997)",Stratford Road,3793942229,38299742-0
139,N34131C,-1.939347805,52.43990543,Scoot,"(-1.9393478049999999, 52.439905430000003)",Bourn Brook Walkway,1681410536,155778737-0
140,N85111D,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
141,N44111D,-1.929085854,52.47284807,Scoot,"(-1.929085854, 52.472848069999998)",Plough & Harrow Road,3797867925,27351660-2
142,N54141H,-1.910937267,52.52970613,Scoot,"(-1.9109372669999998, 52.529706130000001)",Walsall Road,3797998782,231830916-1
143,N33122S,-1.899009001,52.46656927,Scoot,"(-1.899009001, 52.466569270000001)",,,
144,N47111K,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
145,N53161J,-1.897580006,52.49251307,Scoot,"(-1.8975800059999999, 52.492513070000001)",New John Street West,3718335174,366498144-0
146,N84115K,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
147,N76111A,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
148,N25112Y,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
149,N57141D,-1.932825188,52.50195071,Scoot,"(-1.932825188, 52.501950710000003)",Nineveh Road,3806513700,27603043-3
150,N74131D,-1.821162887,52.51599403,Scoot,"(-1.8211628869999998, 52.515994030000002)",Tyburn Road,3798114447,73554430-0
151,N33121B,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
152,N36142X,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
153,N33121X,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
154,N21131C,-1.863144925,52.44982988,Scoot,"(-1.8631449250000001, 52.449829880000003)",Stratford Road,3841254133,54171956-1
155,N33121D,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
156,N12131B,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
157,N13211G,-1.866875379,52.45701714,Scoot,"(-1.8668753790000001, 52.457017139999998)",Warwick Road,3796688335,376543125-1
158,N54151U,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
159,N17122P,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
160,N71161C,-1.872702139,52.50335781,Scoot,"(-1.872702139, 52.503357809999997)",Lichfield Road,3794250001,376521240-1
161,N84111Q,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
162,N43151K,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
163,N43151M,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
164,N34172Q,-1.94036392,52.43910583,Scoot,"(-1.94036392, 52.439105830000003)",Bourn Brook Walkway,1681410529,155778737-0
165,N12151Y,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
166,N12141E,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
167,N13131E,-1.870110557,52.45784781,Scoot,"(-1.8701105569999998, 52.457847809999997)",Stratford Road,3796700510,376541392-0
168,N44121W,-1.932283597,52.47080023,Scoot,"(-1.9322835969999999, 52.470800230000002)",Chad Road,3797886281,4315968-4
169,N14131N,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
170,N74171J,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
171,N68121X,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
172,N58111K,-1.953737394,52.50810979,Scoot,"(-1.953737394, 52.508109789999999)",Holyhead Road,3806897393,382257185-3
173,N58111J,-1.955946327,52.5092074,Scoot,"(-1.9559463269999999, 52.509207400000001)",Island Road,3806897394,26730354-9
174,N82151H,-1.83723844,52.46047725,Scoot,"(-1.8372384399999999, 52.460477249999997)",Kings Road,3796603121,10476433-0
175,N81171G,-1.865312746,52.47239724,Scoot,"(-1.8653127459999999, 52.472397239999999)",Coventry Road,3794316012,376525692-0
176,N41114J,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
177,N84112B,-1.778516345,52.45143695,Scoot,"(-1.7785163450000001, 52.451436950000002)",Coventry Road,2245338872,380943891-0
178,N33121A,-1.899705332,52.47107384,Scoot,"(-1.8997053319999999, 52.471073840000003)",Bristol Street,3796748339,376546461-0
179,N21141M,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
180,N58132Q,-1.949834334,52.50694851,Scoot,"(-1.9498343340000002, 52.506948510000001)",Holyhead Road,3806916374,382257187-2
181,N30141E,-1.911717754,52.45632183,Scoot,"(-1.9117177540000001, 52.45632183)",Priory Road,3809707282,23771001-6
182,N44121T,-1.930706999,52.47172529,Scoot,"(-1.9307069990000001, 52.471725290000002)",Hagley Road,3797881896,212469362-1
183,N62141J,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
184,N17141A,-1.892523401,52.47631769,Scoot,"(-1.892523401, 52.476317690000002)",Upper Dean Street,3799235647,23975799-0
185,N54161P,-1.9047108,52.52560191,Scoot,"(-1.9047107999999999, 52.525601909999999)",Walsall Road,3798006713,231830917-3
186,N53112Y,-1.906031141,52.49387755,Scoot,"(-1.9060311409999999, 52.493877550000001)",New John Street West,3796814849,367965811-0
187,N33121J,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
188,N74131A,-1.817427857,52.51763349,Scoot,"(-1.817427857, 52.517633490000001)",Tyburn Road,3798116912,2419-9
189,N11131D,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
190,N53151A,-1.895793712,52.49428253,Scoot,"(-1.8957937119999999, 52.49428253)",Newtown Row,205233,366498187-0
191,N44171G,-1.929400513,52.46939611,Scoot,"(-1.929400513, 52.469396109999998)",Harborne Road,3797915098,27816302-0
192,N53151C,-1.893839916,52.4921412,Scoot,"(-1.8938399159999999, 52.492141199999999)",Newtown Middleway,208035,366465278-0
193,N51131R,-1.907337932,52.48879027,Scoot,"(-1.9073379319999999, 52.488790270000003)",Great Hampton Street,876254234,32873317-0
194,N58121H,-1.958008777,52.5095138,Scoot,"(-1.9580087769999999, 52.509513799999993)",Holyhead Road,3806887758,136914618-0
195,N39141J,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
196,N53151E,-1.89713797,52.4925936,Scoot,"(-1.89713797, 52.492593599999999)",New John Street West,260478086,366498146-0
197,N51121L,-1.904880725,52.48776347,Scoot,"(-1.9048807249999999, 52.487763469999997)",Constitution Hill,3856273384,74277487-1
198,N62131E,-1.896705352,52.52644925,Scoot,"(-1.8967053519999999, 52.526449249999999)",Tameside Way,3794439658,22887945-0
199,N41111A,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
200,N51111B,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
