scnno,timestamp,value,lat,lon,bearinglookup,bearing
N90112W,2016-06-15 10:50:10,44,52.5357990419,-1.92047828156,322,NW
N90132T,2016-06-15 10:50:10,24,52.5309753197,-1.91313113441,316,NW
N90141B,2016-06-15 10:50:10,25,52.535230372,-1.91710325696,233,SW
N90141C,2016-06-15 10:50:10,6,52.5340801815,-1.91784252531
N90141D,2016-06-15 10:50:10,37,52.5340891816,-1.91785725075,137,SE
N90151N,2016-06-15 10:50:10,13,52.54304148,-1.92932709493,150,SE
N90151Q,2016-06-15 10:50:10,25,52.5429425829,-1.92931250801,3,N
N90151S,2016-06-15 10:50:10,37,52.5420518974,-1.92816383472,320,NW
N90161M,2016-06-15 10:50:10,75,52.5430325077,-1.92935659965,317,NW
N90171H,2016-06-15 10:50:10,59,52.5345749901,-1.91837232939,137,SE
N92111C,2016-06-15 10:50:10,40,52.5459135046,-1.85489866869,308,NW
N92131P,2016-06-15 10:50:10,47,52.5488863146,-1.86002089174,324,NW
N96131S,2016-06-15 10:50:10,55,52.4176573676,-1.96846137673,250,W
N96131V,2016-06-15 10:50:10,54,52.4167950319,-1.97127026717,46,NE
WMID-JTMS1,2016-06-15 10:55:00,34,52.6360854732,-2.12501007453
WMID-JTMS10,2016-06-15 10:55:00,40,52.5829336851,-2.12048995269
WMID-JTMS11,2016-06-15 10:55:00,38,52.5831408256,-2.12012155583
WMID-JTMS13,2016-06-15 10:55:00,36,52.5480318198,-2.09452814447
WMID-JTMS14,2016-06-15 10:55:00,21,52.5664356426,-2.12217074305
WMID-JTMS15,2016-06-15 10:55:00,28,52.5793049679,-2.12607301982
WMID-JTMS16,2016-06-15 10:55:00,43,52.5792068651,-2.12533487164
WMID-JTMS17,2016-06-15 10:55:00,49,52.5482027801,-2.09433680287
WMID-JTMS18,2016-06-15 10:55:00,40,52.5661483344,-2.12181587248
WMID-JTMS19,2016-06-15 10:55:00,11,52.5849110649,-2.13732091978
WMID-JTMS2,2016-06-15 10:55:00,76,52.5902991167,-2.12642937795
